Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1977,   669.7,   553.0,     0.0,   353.2,   312.4,   312.4,     0.0
1978,  1055.4,   514.3,     0.0,   437.4,   586.6,   586.6,     0.0
1979,   800.2,   514.2,     0.0,   408.7,   416.5,   416.5,     0.0
1980,   827.1,   558.4,     0.0,   294.6,   542.9,   542.9,     0.0
1981,  1004.0,   500.2,     0.0,   356.5,   610.5,   610.5,     0.0
1982,  1198.8,   530.4,     0.0,   364.5,   811.5,   811.5,     0.0
1983,   921.9,   544.2,     0.0,   399.8,   562.3,   562.3,     0.0
1984,   664.4,   492.0,     0.0,   364.8,   317.0,   317.0,     0.0
1985,   775.3,   542.6,     0.0,   417.2,   340.6,   340.6,     0.0
1986,  1149.8,   479.3,     0.0,   433.5,   716.7,   716.7,     0.0
1987,  1178.4,   536.7,     0.0,   453.8,   720.7,   720.7,     0.0
1988,   933.2,   504.8,     0.0,   378.8,   568.6,   568.6,     0.0
1989,   672.5,   553.0,     0.0,   353.2,   324.1,   324.1,     0.0
1990,   991.2,   521.0,     0.0,   429.3,   536.1,   536.1,     0.0
1991,   760.0,   514.2,     0.0,   398.9,   380.0,   380.0,     0.0
1992,   793.8,   558.4,     0.0,   296.3,   507.9,   507.9,     0.0
1993,  1008.4,   500.2,     0.0,   364.5,   608.5,   608.5,     0.0
1994,  1121.5,   530.4,     0.0,   367.9,   741.4,   741.4,     0.0
1995,   886.7,   544.2,     0.0,   397.3,   508.2,   508.2,     0.0
1996,   680.4,   492.0,     0.0,   363.2,   343.0,   343.0,     0.0
1997,   724.0,   542.6,     0.0,   416.7,   293.5,   293.5,     0.0
1998,  1089.6,   482.1,     0.0,   435.6,   649.5,   649.5,     0.0
1999,  1092.3,   530.9,     0.0,   455.5,   635.3,   635.3,     0.0
2000,   874.7,   500.0,     0.0,   382.6,   504.1,   504.1,     0.0
2001,   836.8,   500.3,     0.0,   396.9,   412.4,   412.4,     0.0
2002,  1098.1,   512.9,     0.0,   475.1,   640.1,   640.1,     0.0
2003,   690.9,   531.8,     0.0,   459.6,   224.9,   224.9,     0.0
2004,  1034.2,   512.2,     0.0,   437.0,   595.8,   595.8,     0.0
2005,   817.2,   530.5,     0.0,   446.7,   375.9,   375.9,     0.0
2006,   863.6,   550.1,     0.0,   380.8,   491.0,   491.0,     0.0
2007,  1150.6,   541.0,     0.0,   468.2,   686.5,   686.5,     0.0
2008,   953.8,   585.3,     0.0,   340.8,   625.0,   625.0,     0.0
2009,   844.6,   581.9,     0.0,   378.9,   432.2,   432.2,     0.0
2010,   826.9,   534.0,     0.0,   415.2,   402.8,   402.8,     0.0
2011,   956.3,   544.7,     0.0,   420.9,   566.7,   566.7,     0.0
2012,   931.5,   540.0,     0.0,   468.2,   449.7,   449.7,     0.0
2013,   835.0,   544.7,     0.0,   420.5,   423.4,   423.4,     0.0
2014,   984.3,   569.8,     0.0,   474.5,   512.2,   512.2,     0.0
2015,  1053.5,   548.9,     0.0,   440.1,   592.7,   592.7,     0.0
2016,   798.0,   542.4,     0.0,   482.1,   343.4,   343.4,     0.0
2017,   995.2,   531.0,     0.0,   448.5,   529.5,   529.5,     0.0
2018,   671.5,   599.6,     0.0,   314.0,   373.8,   373.8,     0.0
2019,   367.7,   329.3,     0.0,   223.8,   212.3,   212.3,     0.0
