Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp,      Ve,      Vr,      Vb
2005,   707.0, 59002.8,     0.0,   784.4,    12.7,    12.7,     0.0,  2699.4,  1349.1,  9437.0
2006,   786.3, 61309.3,     0.0,   786.7,     0.7,     0.7,     0.0,  3245.9,  1306.0,  5467.0
2007,   820.1, 59281.9,     0.0,   789.1,    32.2,    32.2,     0.0,  3267.9,  1842.8,  5984.3
2008,   840.9, 58689.5,     0.0,   821.5,    14.3,    14.3,     0.0,  3308.8,  1578.4,  5747.0
2009,   822.2, 61778.7,     0.0,   808.5,    23.3,    23.3,     0.0,  3296.2,  1780.2,  6167.7
2010,   813.6, 56047.8,     0.0,   804.4,     1.0,     1.0,     0.0,  3311.6,  1399.5,  4546.7
2011,   813.9, 60135.9,     0.0,   777.0,    31.9,    31.9,     0.0,  3310.1,  2248.2,  7111.5
2012,   801.9, 62629.8,     0.0,   801.1,     6.4,     6.4,     0.0,  3356.7,  1489.5,  6645.5
2013,   796.1, 60217.7,     0.0,   783.4,    17.7,    17.7,     0.0,  3310.9,  1408.9,  5736.8
2014,   833.1, 63279.4,     0.0,   798.7,    32.8,    32.8,     0.0,  3269.6,  2103.2,  5371.6
2015,   808.9, 62903.5,     0.0,   793.0,    10.1,    10.1,     0.0,  3240.4,  1320.8,  5901.1
2016,   829.8, 63989.2,     0.0,   824.9,     2.2,     2.2,     0.0,  3089.2,  1285.1,  5679.2
2017,   823.0, 61914.0,     0.0,   824.7,     4.2,     4.2,     0.0,  2978.2,  1562.7,  6112.5
2018,   837.4, 65140.4,     0.0,   801.8,    38.5,    38.5,     0.0,  3288.4,  2022.0,  6561.7
2019,   680.2, 59751.9,     0.0,   658.1,    21.7,    21.7,     0.0,  2756.6,  1696.9,  5305.1
